,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,individualPracticeAttempts,practice
17,5ef7fc4ece2f7f58fcd0a9e9,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310286896.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,8,0,Same on left side - one red block two squares over,13592,143909,chatMessage,,False
18,5ef7fc8ece2f7f58fcd0a9eb,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310350375.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,2.0,10,0,Two blue blocks on top of those red ones in a line across,33629,207407,chatMessage,,False
19,5ef7fcb5ce2f7f58fcd0a9ef,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310389851.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,3.0,0,1,"Structure we just built - one red block, two squares over from the left tick mark~~~",26738,26738,chatMessage,,False
20,5ef7fce8ce2f7f58fcd0a9f4,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310440145.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,3.0,2,1,Awesome - now the large L shape - two blue blocks so they are centered over the right tick mark,21711,77030,chatMessage,,False
21,5ef7fd14ce2f7f58fcd0a9fa,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310484414.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,4.0,0,1,"Ok, same upside down U on left - red block two squares over from mark on left side of screen",23256,23256,chatMessage,,False
22,5ef7fd4cce2f7f58fcd0a9ff,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310540925.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,4.0,2,1,Great - now ONE blue block centered over right mark ,40637,79766,chatMessage,,False
23,5ef7fd6ace2f7f58fcd0aa01,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310570128.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,4.0,4,1,Two red blocks going up from the left blue block ,18715,108967,chatMessage,,False
24,5ef7fd80ce2f7f58fcd0aa04,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310592791.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,4.0,6,1,Blue block on top to mirror~~~ - this will be long C shape,13299,131629,chatMessage,,False
25,5ef7fd9dce2f7f58fcd0aa07,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310621578.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,5.0,0,1,Long C shape on left - blue block centered over left tick mark,16361,16361,chatMessage,,False
26,5ef7fdbdce2f7f58fcd0aa0c,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310653602.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,5.0,2,1,L shape on right - two blue blocks centered over right tick mark,18691,48384,chatMessage,,False
27,5ef7fde3ce2f7f58fcd0aa12,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310691653.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,6.0,0,2,Long C on left again - blue centered over red tick mark on left,17497,17497,chatMessage,,False
28,5ef7fe0bce2f7f58fcd0aa17,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310731940.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,Pi,6.0,2,2,upside down U on right - one red block two squares over from the tick mark on right,28211,57783,chatMessage,,False
29,5ef7fe30ce2f7f58fcd0aa1d,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310768542.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,7.0,0,2,L shape on left - 2 blue ones centered over tick mark on left,16533,16533,chatMessage,,False
30,5ef7fe4dce2f7f58fcd0aa22,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310797518.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,Pi,7.0,2,2,Upside down U on right - red block two squares over from tick,16587,45507,chatMessage,,False
31,5ef7fe76ce2f7f58fcd0aa29,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310838521.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,8.0,0,2,L shape on left starting with the two blue blocks centered ovr red tick mark on left,18902,18902,chatMessage,,False
32,5ef7fe92ce2f7f58fcd0aa31,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310866467.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,L,C,8.0,2,2,Long C shape on right starting with the blue block centered over the right tick,15510,46856,chatMessage,,False
33,5ef7febbce2f7f58fcd0aa39,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310907753.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,9.0,0,3,Upside down U on left - red blocks are 2 squares over from left tick,19119,19119,chatMessage,,False
34,5ef7fedfce2f7f58fcd0aa41,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310943789.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,L,9.0,2,3,L shape on right with the blue blocks centered over right tick mark,20442,55155,chatMessage,,False
35,5ef7ff01ce2f7f58fcd0aa47,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593310977902.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,10.0,0,3,Upside down U on left same as last round,12504,12504,chatMessage,,False
36,5ef7ff1dce2f7f58fcd0aa4c,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593311005330.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,Pi,C,10.0,2,3,Long C this time with blue block centered over rigth tick,12917,39980,chatMessage,,False
37,5ef7ff4ace2f7f58fcd0aa52,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593311050832.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,11.0,0,3,Now long C on left side - blue block over left tick mark,20192,20192,chatMessage,,False
38,5ef7ff79ce2f7f58fcd0aa58,pilot1,5632-f55ecbec-05f2-4071-9d8d-1920fb8401f9,1593311097423.0,32UTUBMZ7KWTKRWO9R9ZZEYIOVMBVR,C,L,11.0,2,3,L shape starting with the 2 blue blocks centered over right tick mark,33208,66781,chatMessage,,False
0,5f403ee40f92420bdd879564,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045924815.0,,vertical,horizontal,,0,practice,v,3505,3505,chatMessage,,True
1,5f403eee0f92420bdd879568,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045934771.0,,vertical,horizontal,,0,practice,d,2528,2528,chatMessage,,True
2,5f403ef90f92420bdd87956c,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045945737.0,,L,Pi,0.0,0,0,d,2563,2563,chatMessage,,False
3,5f403f0b0f92420bdd879576,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045963137.0,,L,C,1.0,0,0,lc,2215,2215,chatMessage,,False
4,5f403f210f92420bdd879580,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045985555.0,,C,Pi,2.0,0,0,c,4162,4162,chatMessage,,False
5,5f403f2f0f92420bdd87958a,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598045999854.0,,Pi,L,3.0,0,1,c,1259,1259,chatMessage,,False
6,5f403f3d0f92420bdd879594,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046013458.0,,C,L,4.0,0,1,asd,863,863,chatMessage,,False
7,5f403f4d0f92420bdd87959e,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046029213.0,,Pi,C,5.0,0,1,c,1732,1732,chatMessage,,False
8,5f403f5e0f92420bdd8795a8,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046046419.0,,C,Pi,6.0,0,2,cesc,2540,2540,chatMessage,,False
9,5f403f6d0f92420bdd8795b2,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046061385.0,,L,C,7.0,0,2,sefef,1447,1447,chatMessage,,False
10,5f403f7b0f92420bdd8795bc,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046075122.0,,L,Pi,8.0,0,2,sefs,1823,1823,chatMessage,,False
11,5f403f890f92420bdd8795c6,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046089173.0,,Pi,C,9.0,0,3,sevev,1182,1182,chatMessage,,False
12,5f403f990f92420bdd8795d0,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046105271.0,,C,L,10.0,0,3,sefe,1011,1011,chatMessage,,False
13,5f403fa70f92420bdd8795da,pilot1,8674-b847a9b8-a4f4-4215-9456-0b353e97b52a,1598046119293.0,,Pi,L,11.0,0,3,sefs,2017,2017,chatMessage,,False
