,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
24,5f47df7edf57f9222c29ccd6,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545790244.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,L,9.0,2,3,0,L starting 2nd bottom right with 2 blue and 2 red on left most blue block,20225,53480,chatMessage,False
25,5f47dfb3df57f9222c29ccdd,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545843957.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,C,10.0,0,3,0,"n starting 2nd bottom left with red, two blue across, another red down",24999,24999,chatMessage,False
26,5f47dfd7df57f9222c29cceb,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545879424.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,Pi,C,10.0,2,3,0,"C starting with blue in 3rd bottom from right, 2 red high, and another blue",24329,60465,chatMessage,False
27,5f47dffedf57f9222c29ccf8,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545918809.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,L,11.0,0,3,0,"C starting 3rd bottom left with blue, 2 red high, blue on top",19478,19478,chatMessage,False
28,5f47e01ddf57f9222c29cd00,pilot3,5809-2a5e096b-a425-4bc7-b495-cf74cb60ded6,1598545949333.0,3IFS6Q0HJJXHBMAZNQA946Z5K1ZSIX,C,L,11.0,2,3,0,L starting 2nd bottom right with 2 blue and 2 red on top of left most blue,19955,50064,chatMessage,False
0,5f47d83ddf57f9222c29cc25,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598543933900.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,horizontal,vertical,,0,practice,1,"put blue block on the middle of left red line
put red block on the left side of the right red line",166863,166863,chatMessage,True
1,5f47da72df57f9222c29cc37,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598544498489.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,C,Pi,0.0,0,0,1,"1)B on L-Line, 2Red & 1B ontop (C shape) 2)1Red 2nd to L & 2nd to R of R-Line~~~Lay 2B's ontop",539854,539854,chatMessage,False
2,5f47db5adf57f9222c29cc4a,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598544730393.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,L,Pi,1.0,0,0,1,"1B on both side of LL~~~ 2R ontop left B~~~ (Lshape)1R on 2nd L and 2nd R of RL,lay 2B ontop(same as b4)",151026,151026,chatMessage,False
3,5f47dc4edf57f9222c29cc5d,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598544974508.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,L,C,2.0,0,0,1,"1B both side LL~~~2R on LB (same b4) 1B middle RL, 2R top LB~~~ 1B top R (c shape)",175345,175345,chatMessage,False
4,5f47dd3fdf57f9222c29cc76,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545215524.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,Pi,L,3.0,0,1,1,"1R each on 2ndL & 2ndR of LL, lay 2B's ontop~~~ 1B on both side of RL, 2R ontop the left B (Lshape)",193974,193974,chatMessage,False
5,5f47de24df57f9222c29cc91,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545444565.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,Pi,C,4.0,0,1,1,"1r on 2ndL&2ndR of LL, 2B ontop~~~ (frowny) 1B middle of RL, 2R ontop LB, 1B ontop (c shape)",156820,156820,chatMessage,False
6,5f47deb3df57f9222c29cca7,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545587736.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,C,L,5.0,0,1,1,"cshape on LL (from last trial), Lshape on RL~~~ (2b each side, 2R ontop)",82800,82800,chatMessage,False
7,5f47df17df57f9222c29ccc0,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545687774.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,C,Pi,6.0,0,2,1,"same cshape on LL~~~ frowny on RL 
also ur doin great ily",38354,38354,chatMessage,False
8,5f47dfa8df57f9222c29ccdc,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545832543.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,L,C,7.0,0,2,1,"Lshape on LL (2B + 2R), Cshape on R line (1B +2R+1B)",97934,97934,chatMessage,False
9,5f47dfecdf57f9222c29ccf1,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545900706.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,L,Pi,8.0,0,2,1,"L shape on left
frowny on right",30609,30609,chatMessage,False
10,5f47e025df57f9222c29cd04,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598545957845.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,Pi,C,9.0,0,3,1,"FROWNY ON LEFT, C SHAPE ON RIGHT ",27139,27139,chatMessage,False
11,5f47e062df57f9222c29cd10,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598546018325.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,Pi,L,10.0,0,3,1,"Frowny on left, Lshape on right (2B+2R)",31897,31897,chatMessage,False
12,5f47e093df57f9222c29cd1c,pilot3,6598-80d65299-0654-43b4-9f27-08572427cb2d,1598546067222.0,3NQL1CS15SMJTE68L31H1HD09OWVYG,C,L,11.0,0,3,1,"Cshape on left, L shape on right",18450,18450,chatMessage,False
